date,supplier,supplier_title,invoice_no,qty,units,description,currency,price,source,consumer_title,consumer_title
11/9/2023,j.r vision,j.r vision hardware,1396,2,4-Mar,ppr tee,kshs,20,mama_muraya,mutall,mutall_investment_company
11/9/2023,j.r vision,j.r vision hardware,1397,4,25,ppr elbow,kshs,20,mama_muraya,mutall,mutall_investment_company
11/9/2023,j.r vision,j.r vision hardware,1397,4,25*3/4,ppr ms,kshs,30,mama_muraya,mutall,mutall_investment_company
11/9/2023,j.r vision,j.r vision hardware,1397,2,4-Mar,gatevalve,kshs,600,mama_muraya,mutall,mutall_investment_company
11/9/2023,j.r vision,j.r vision hardware,1397,1,32,ppr pipe,kshs,370,mama_muraya,mutall,mutall_investment_company
11/9/2023,j.r vision,j.r vision hardware,1397,1,32,ppr elbow ,kshs,30,mama_muraya,mutall,mutall_investment_company
11/9/2023,j.r vision,j.r vision hardware,1397,2,32,ppr tee,kshs,30,mama_muraya,mutall,mutall_investment_company
11/9/2023,j.r vision,j.r vision hardware,1397,1,4-Mar,ppr reducer,kshs,30,mama_muraya,mutall,mutall_investment_company
11/9/2023,j.r vision,j.r vision hardware,1397,1,32,ppr elbow,kshs,30,mama_muraya,mutall,mutall_investment_company
11/11/2023,enchipai,enchipai hardware,1300,4,,TZ,kshs,1200,mama_muraya,mutall,mutall_investment_company
11/11/2023,enchipai,enchipai hardware,1300,4,pcs,silicon,kshs,350,mama_muraya,mutall,mutall_investment_company
11/11/2023,beehope,beehope hardware,2966,4,m,polythene,kshs,400,mama_muraya,mutall,mutall_investment_company
11/14/2023,ESSAJEE,ESSAJEE AMIJEE LTD,724,,,fiscal receipt,kshs,15400,mama_muraya,mutall,mutall_investment_company
11/14/2023,ESSAJEE,ESSAJEE AMIJEE LTD,75582,5,4mm,clear glass,kshs,14400,mama_muraya,mutall,mutall_investment_company
11/14/2023,ESSAJEE,ESSAJEE AMIJEE LTD,75582,1,,p,kshs,1300,mama_muraya,mutall,mutall_investment_company
11/16/2023,bernatliza,bernatliza electrical,1203,1,pcs,flat switch,kshs,800,mama_muraya,mutall,mutall_investment_company
11/15/2023,kenya _clay,kenya clay products ltd,305711,400,pcs,mangalore,kshs,64,mama_muraya,mutall,mutall_investment_company
11/15/2023,kenya _clay,kenya clay products ltd,305711,50,pcs,standard ridge,kshs,87,mama_muraya,mutall,mutall_investment_company
11/14/2023,kenya _clay,kenya clay products ltd,316251,400,pcs,mangalore,kshs,64,mama_muraya,mutall,mutall_investment_company
11/14/2023,kenya _clay,kenya clay products ltd,316251,50,pcs,standard ridge,kshs,87,mama_muraya,mutall,mutall_investment_company
11/17/2023,damal,shell petrol station,982811,22.83,litres,fuel,kshs,219,p.muraya,mutall,mutall_investment_company
11/25/2023,damal,shell petrol station,477763,64.91,litres,fuel,kshs,219,p.muraya,mutall,mutall_investment_company
10/7/2023,damal,shell petrol station,229817,48.66,litres,fuel,kshs,219,p.muraya,mutall,mutall_investment_company
9/30/2023,glacier,shell petrol station,116584,,receipt,purchase,kshs,8000,p.muraya,mutall,mutall_investment_company
9/30/2023,damal,shell petrol station,848599,22.83,litres,petrol,kshs,219,p.muraya,mutall,mutall_investment_company
10/2/2023,chekaki,chekaki hardware,1759,1,pcs,formica,kshs,1700,p.muraya,mutall,mutall_investment_company
10/2/2023,chekaki,chekaki hardware,1760,10,mtrs,lipping,kshs,200,p.muraya,mutall,mutall_investment_company
10/2/2023,chekaki,chekaki hardware,1761,7,mtrs,lipping,kshs,140,p.muraya,mutall,mutall_investment_company
10/4/2023,vinya ,vinya bookshop,4864,1,pcs,spiral A5,kshs,60,p.muraya,mutall,mutall_investment_company
10/4/2023,vinya,vinya bookshop,4865,1,pcs,spiral A6,kshs,35,p.muraya,mutall,mutall_investment_company
